Date,Type de jour TEMPO
2015-09-01,BLEU
2015-09-02,BLEU
2015-09-03,BLEU
2015-09-04,BLEU
2015-09-05,BLEU
2015-09-06,BLEU
2015-09-07,BLEU
2015-09-08,BLEU
2015-09-09,BLEU
2015-09-10,BLEU
2015-09-11,BLEU
2015-09-12,BLEU
2015-09-13,BLEU
2015-09-14,BLEU
2015-09-15,BLEU
2015-09-16,BLEU
2015-09-17,BLEU
2015-09-18,BLEU
2015-09-19,BLEU
2015-09-20,BLEU
2015-09-21,BLEU
2015-09-22,BLEU
2015-09-23,BLEU
2015-09-24,BLEU
2015-09-25,BLEU
2015-09-26,BLEU
2015-09-27,BLEU
2015-09-28,BLEU
2015-09-29,BLEU
2015-09-30,BLEU
2015-10-01,BLEU
2015-10-02,BLEU
2015-10-03,BLEU
2015-10-04,BLEU
2015-10-05,BLEU
2015-10-06,BLEU
2015-10-07,BLEU
2015-10-08,BLEU
2015-10-09,BLEU
2015-10-10,BLEU
2015-10-11,BLEU
2015-10-12,BLEU
2015-10-13,BLEU
2015-10-14,BLEU
2015-10-15,BLEU
2015-10-16,BLEU
2015-10-17,BLEU
2015-10-18,BLEU
2015-10-19,BLEU
2015-10-20,BLEU
2015-10-21,BLEU
2015-10-22,BLEU
2015-10-23,BLEU
2015-10-24,BLEU
2015-10-25,BLEU
2015-10-26,BLEU
2015-10-27,BLEU
2015-10-28,BLEU
2015-10-29,BLEU
2015-10-30,BLEU
2015-10-31,BLEU
2015-11-01,BLEU
2015-11-02,BLEU
2015-11-03,BLEU
2015-11-04,BLEU
2015-11-05,BLEU
2015-11-06,BLEU
2015-11-07,BLEU
2015-11-08,BLEU
2015-11-09,BLEU
2015-11-10,BLEU
2015-11-11,BLEU
2015-11-12,BLEU
2015-11-13,BLEU
2015-11-14,BLEU
2015-11-15,BLEU
2015-11-16,BLEU
2015-11-17,BLEU
2015-11-18,BLEU
2015-11-19,BLEU
2015-11-20,BLEU
2015-11-21,BLEU
2015-11-22,BLEU
2015-11-23,BLANC
2015-11-24,BLANC
2015-11-25,BLANC
2015-11-26,BLANC
2015-11-27,BLANC
2015-11-28,BLEU
2015-11-29,BLEU
2015-11-30,BLEU
2015-12-01,BLEU
2015-12-02,BLANC
2015-12-03,BLANC
2015-12-04,BLEU
2015-12-05,BLEU
2015-12-06,BLEU
2015-12-07,BLEU
2015-12-08,BLEU
2015-12-09,BLANC
2015-12-10,BLANC
2015-12-11,BLANC
2015-12-12,BLEU
2015-12-13,BLEU
2015-12-14,BLANC
2015-12-15,BLEU
2015-12-16,BLEU
2015-12-17,BLEU
2015-12-18,BLEU
2015-12-19,BLEU
2015-12-20,BLEU
2015-12-21,BLEU
2015-12-22,BLEU
2015-12-23,BLEU
2015-12-24,BLEU
2015-12-25,BLEU
2015-12-26,BLEU
2015-12-27,BLEU
2015-12-28,BLEU
2015-12-29,BLEU
2015-12-30,BLEU
2015-12-31,BLEU
2016-01-01,BLEU
2016-01-02,BLEU
2016-01-03,BLEU
2016-01-04,BLANC
2016-01-05,BLANC
2016-01-06,BLANC
2016-01-07,BLANC
2016-01-08,ROUGE
2016-01-09,BLEU
2016-01-10,BLEU
2016-01-11,BLANC
2016-01-12,BLANC
2016-01-13,ROUGE
2016-01-14,ROUGE
2016-01-15,ROUGE
2016-01-16,BLANC
2016-01-17,BLEU
2016-01-18,ROUGE
2016-01-19,ROUGE
2016-01-20,ROUGE
2016-01-21,ROUGE
2016-01-22,ROUGE
2016-01-23,BLANC
2016-01-24,BLEU
2016-01-25,BLANC
2016-01-26,BLANC
2016-01-27,BLEU
2016-01-28,BLANC
2016-01-29,BLANC
2016-01-30,BLEU
2016-01-31,BLEU
2016-02-01,BLEU
2016-02-02,BLANC
2016-02-03,BLANC
2016-02-04,BLANC
2016-02-05,ROUGE
2016-02-06,BLEU
2016-02-07,BLEU
2016-02-08,BLEU
2016-02-09,BLANC
2016-02-10,ROUGE
2016-02-11,ROUGE
2016-02-12,ROUGE
2016-02-13,BLEU
2016-02-14,BLEU
2016-02-15,ROUGE
2016-02-16,ROUGE
2016-02-17,ROUGE
2016-02-18,ROUGE
2016-02-19,ROUGE
2016-02-20,BLEU
2016-02-21,BLEU
2016-02-22,BLANC
2016-02-23,BLANC
