Date,Type de jour TEMPO
2016-09-01,BLEU
2016-09-02,BLEU
2016-09-03,BLEU
2016-09-04,BLEU
2016-09-05,BLEU
2016-09-06,BLEU
2016-09-07,BLEU
2016-09-08,BLEU
2016-09-09,BLEU
2016-09-10,BLEU
2016-09-11,BLEU
2016-09-12,BLEU
2016-09-13,BLEU
2016-09-14,BLEU
2016-09-15,BLEU
2016-09-16,BLEU
2016-09-17,BLEU
2016-09-18,BLEU
2016-09-19,BLEU
2016-09-20,BLEU
2016-09-21,BLEU
2016-09-22,BLEU
2016-09-23,BLEU
2016-09-24,BLEU
2016-09-25,BLEU
2016-09-26,BLEU
2016-09-27,BLEU
2016-09-28,BLEU
2016-09-29,BLEU
2016-09-30,BLEU
2016-10-01,BLEU
2016-10-02,BLEU
2016-10-03,BLEU
2016-10-04,BLEU
2016-10-05,BLEU
2016-10-06,BLEU
2016-10-07,BLEU
2016-10-08,BLEU
2016-10-09,BLEU
2016-10-10,BLEU
2016-10-11,BLEU
2016-10-12,BLEU
2016-10-13,BLEU
2016-10-14,BLEU
2016-10-15,BLEU
2016-10-16,BLEU
2016-10-17,BLEU
2016-10-18,BLEU
2016-10-19,BLEU
2016-10-20,BLEU
2016-10-21,BLEU
2016-10-22,BLEU
2016-10-23,BLEU
2016-10-24,BLEU
2016-10-25,BLEU
2016-10-26,BLEU
2016-10-27,BLEU
2016-10-28,BLEU
2016-10-29,BLEU
2016-10-30,BLEU
2016-10-31,BLEU
2016-11-01,BLEU
2016-11-02,BLEU
2016-11-03,BLEU
2016-11-04,BLEU
2016-11-05,BLEU
2016-11-06,BLEU
2016-11-07,BLANC
2016-11-08,BLANC
2016-11-09,BLEU
2016-11-10,BLEU
2016-11-11,BLEU
2016-11-12,BLEU
2016-11-13,BLEU
2016-11-14,BLANC
2016-11-15,BLEU
2016-11-16,BLEU
2016-11-17,BLEU
2016-11-18,BLEU
2016-11-19,BLEU
2016-11-20,BLEU
2016-11-21,BLEU
2016-11-22,BLEU
2016-11-23,BLEU
2016-11-24,BLEU
2016-11-25,BLEU
2016-11-26,BLEU
2016-11-27,BLEU
2016-11-28,BLANC
2016-11-29,ROUGE
2016-11-30,ROUGE
2016-12-01,ROUGE
2016-12-02,ROUGE
2016-12-03,BLANC
2016-12-04,BLEU
2016-12-05,BLANC
2016-12-06,BLANC
2016-12-07,BLANC
2016-12-08,BLANC
2016-12-09,BLANC
2016-12-10,BLEU
2016-12-11,BLEU
2016-12-12,ROUGE
2016-12-13,BLANC
2016-12-14,BLANC
2016-12-15,BLANC
2016-12-16,BLANC
2016-12-17,BLEU
2016-12-18,BLEU
2016-12-19,BLEU
2016-12-20,BLANC
2016-12-21,BLANC
2016-12-22,BLEU
2016-12-23,BLEU
2016-12-24,BLEU
2016-12-25,BLEU
2016-12-26,BLEU
2016-12-27,BLEU
2016-12-28,BLANC
2016-12-29,BLANC
2016-12-30,BLANC
2016-12-31,BLANC
2017-01-01,BLEU
2017-01-02,ROUGE
2017-01-03,ROUGE
2017-01-04,ROUGE
2017-01-05,ROUGE
2017-01-06,ROUGE
2017-01-07,BLANC
2017-01-08,BLEU
2017-01-09,BLANC
2017-01-10,BLANC
2017-01-11,BLANC
2017-01-12,BLANC
2017-01-13,BLANC
2017-01-14,BLANC
2017-01-15,BLEU
2017-01-16,ROUGE
2017-01-17,ROUGE
2017-01-18,ROUGE
2017-01-19,ROUGE
2017-01-20,ROUGE
2017-01-21,BLANC
2017-01-22,BLEU
2017-01-23,BLANC
2017-01-24,ROUGE
2017-01-25,ROUGE
2017-01-26,ROUGE
2017-01-27,BLANC
2017-01-28,BLANC
2017-01-29,BLEU
2017-01-30,BLANC
2017-01-31,BLEU
2017-02-01,BLEU
2017-02-02,BLEU
2017-02-03,BLEU
2017-02-04,BLEU
2017-02-05,BLEU
2017-02-06,BLEU
2017-02-07,BLANC
2017-02-08,BLANC
2017-02-09,BLANC
2017-02-10,BLANC
2017-02-11,BLEU
2017-02-12,BLEU
2017-02-13,BLEU
2017-02-14,BLEU
2017-02-15,BLEU
2017-02-16,BLEU
2017-02-17,BLEU
2017-02-18,BLEU
2017-02-19,BLEU
2017-02-20,BLEU
2017-02-21,BLEU
2017-02-22,BLEU
2017-02-23,BLEU
2017-02-24,BLEU
2017-02-25,BLEU
2017-02-26,BLEU
2017-02-27,BLEU
2017-02-28,BLEU
2017-03-01,BLEU
2017-03-02,BLEU
2017-03-03,BLEU
2017-03-04,BLEU
2017-03-05,BLEU
2017-03-06,BLEU
2017-03-07,BLANC
2017-03-08,BLEU
2017-03-09,BLEU
2017-03-10,BLEU
2017-03-11,BLEU
2017-03-12,BLEU
2017-03-13,BLEU
2017-03-14,BLEU
2017-03-15,BLEU
2017-03-16,BLEU
2017-03-17,BLEU
2017-03-18,BLEU
2017-03-19,BLEU
2017-03-20,BLEU
2017-03-21,BLEU
2017-03-22,BLANC
2017-03-23,BLANC
2017-03-24,BLEU
2017-03-25,BLEU
2017-03-26,BLEU
2017-03-27,ROUGE
2017-03-28,BLEU
2017-03-29,ROUGE
2017-03-30,ROUGE
2017-03-31,ROUGE
2017-04-01,BLEU
2017-04-02,BLEU
2017-04-03,BLEU
2017-04-04,BLEU
2017-04-05,BLEU
2017-04-06,BLEU
2017-04-07,BLEU
2017-04-08,BLEU
2017-04-09,BLEU
2017-04-10,BLEU
2017-04-11,BLEU
2017-04-12,BLEU
2017-04-13,BLEU
2017-04-14,BLEU
2017-04-15,BLEU
2017-04-16,BLEU
2017-04-17,BLEU
2017-04-18,BLEU
2017-04-19,BLEU
2017-04-20,BLANC
2017-04-21,BLEU
2017-04-22,BLEU
2017-04-23,BLEU
2017-04-24,BLEU
2017-04-25,BLANC
2017-04-26,BLANC
2017-04-27,BLANC
2017-04-28,BLEU
2017-04-29,BLEU
2017-04-30,BLEU
2017-05-01,BLEU
2017-05-02,BLEU
2017-05-03,BLEU
2017-05-04,BLEU
2017-05-05,BLEU
2017-05-06,BLEU
2017-05-07,BLEU
2017-05-08,BLEU
2017-05-09,BLEU
2017-05-10,BLEU
2017-05-11,BLEU
2017-05-12,BLEU
2017-05-13,BLEU
2017-05-14,BLEU
2017-05-15,BLEU
2017-05-16,BLEU
2017-05-17,BLEU
2017-05-18,BLEU
2017-05-19,BLEU
2017-05-20,BLEU
2017-05-21,BLEU
2017-05-22,BLEU
2017-05-23,BLEU
2017-05-24,BLEU
2017-05-25,BLEU
2017-05-26,BLEU
2017-05-27,BLEU
2017-05-28,BLEU
2017-05-29,BLEU
2017-05-30,BLEU
2017-05-31,BLEU
2017-06-01,BLEU
2017-06-02,BLEU
2017-06-03,BLEU
2017-06-04,BLEU
2017-06-05,BLEU
2017-06-06,BLEU
2017-06-07,BLEU
2017-06-08,BLEU
2017-06-09,BLEU
2017-06-10,BLEU
2017-06-11,BLEU
2017-06-12,BLEU
